time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450750000	12.4425	21.0212	4.88423	3.03853	0.607313	radar	2.55449	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1948	21.0573	4.90698	3.06312	0.599517	lidar	0.160194	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9604	21.0759	4.89528	3.09407	0.605951	radar	0.911554	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7268	21.0397	4.83939	3.14319	0.630867	lidar	1.7702	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.485	21.0245	4.82171	3.17787	0.6313	radar	1.0416	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2797	21.0127	4.73661	3.21109	0.636387	lidar	0.579298	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0283	20.973	4.75931	3.24961	0.641704	radar	4.10351	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8281	20.9308	4.66848	3.29058	0.656264	lidar	0.273356	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5868	20.9278	4.56515	3.2898	0.577299	radar	5.65468	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2709	20.9747	4.79923	3.27034	0.506766	lidar	3.93536	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0344	20.9544	4.80324	3.29034	0.500918	radar	1.0026	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.86186	20.9107	4.64795	3.32671	0.520433	lidar	1.38103	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.63907	20.8971	4.52592	3.32461	0.456359	radar	1.51524	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.45873	20.8473	4.42627	3.35696	0.47162	lidar	0.464521	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.25072	20.7985	4.45697	3.38735	0.492232	radar	1.49128	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90894	20.788	4.75625	3.36877	0.427992	lidar	3.15669	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70582	20.7027	4.72677	3.41395	0.469898	radar	4.44134	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39884	20.6292	4.92006	3.42558	0.448952	lidar	2.99648	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16587	20.5498	4.94512	3.45593	0.466317	radar	0.119818	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.91665	20.471	4.98134	3.47621	0.461361	lidar	0.0824392	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.69739	20.3855	5.02312	3.51226	0.496963	radar	3.41285	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.34956	20.3351	5.28226	3.49336	0.433787	lidar	2.39117	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.10232	20.244	5.25287	3.51012	0.4197	radar	0.241336	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.83905	20.1584	5.29542	3.52228	0.407442	lidar	0.0921616	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.60394	20.0701	5.24046	3.53655	0.39352	radar	0.573892	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.36969	19.9743	5.22314	3.5552	0.392857	lidar	0.102654	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.14898	19.8819	5.19024	3.57506	0.397841	radar	3.05238	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.88973	19.7861	5.24166	3.58308	0.381361	lidar	0.18522	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.64079	19.6433	5.38117	3.62077	0.426	radar	1.64124	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.51161	19.5085	5.1385	3.67383	0.474175	lidar	2.46284	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.31239	19.3591	5.11517	3.71074	0.495041	radar	1.86674	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11274	19.2542	5.06244	3.72695	0.486038	lidar	1.9986	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94084	19.1403	4.8695	3.74472	0.465267	radar	4.62567	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.80121	18.9886	4.75353	3.79111	0.500281	lidar	0.605315	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58754	18.838	4.89314	3.81478	0.507726	radar	1.62689	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
